epoch,acc,f1_m,loss,val_acc,val_f1_m,val_loss
0,0.8053635406494141,0.03409543849023976,0.4114924068748951,0.8091990879603794,0.012840500399969252,0.43145278564521244
1,0.8220919799804688,0.21492675714120196,0.3439026376605034,0.8184373038155692,0.6217682702200753,0.3302678367921284
2,0.8588951873779297,0.6225656214356422,0.315337243527174,0.7244042532784598,0.5046822501080377,1.1934203045708793
3,0.8687517929077149,0.6413166622817517,0.29390200667083266,0.8527193341936384,0.6601651046957289,0.30877845500196727
4,0.8830775451660157,0.6869981683790684,0.2687751942873001,0.8633548191615513,0.640203381223338,0.31695552723748344
5,0.8941791152954102,0.7155553820729256,0.2516275077313185,0.8815088544573103,0.6470153025218419,0.28505231823240007
6,0.8993278884887695,0.7291728861629962,0.24049801416695119,0.874334716796875,0.6152675638241427,0.33134709830795017
7,0.9031298446655274,0.7401819489151239,0.2297345967963338,0.8857561383928572,0.723880204132625,0.2630179926753044
8,0.9059047317504882,0.7451876769959926,0.22466600123792888,0.9071760995047433,0.726453640631267,0.21518881140010698
9,0.915420036315918,0.7608418573439121,0.20678099006414413,0.8927375793457031,0.663532247713634,0.25607668842588155
10,0.9147709274291992,0.7660447712242603,0.20980224676430226,0.8187206813267299,0.19767622010383223,0.49337870350905827
11,0.9134444808959961,0.7531424049288035,0.2111822145432234,0.9061851501464844,0.7122616461345128,0.23303907183664185
12,0.9212290954589843,0.7795218497514724,0.19384660605341197,0.9138719831194196,0.7512176952191761,0.19645822292992046
13,0.9234277725219726,0.7852172435075044,0.18896196968853474,0.921465083530971,0.7765741275889533,0.1858422893498625
14,0.9243561172485352,0.7849790736846626,0.1880452451109886,0.9287374223981585,0.792618214232581,0.1790979400277138
15,0.9252849197387696,0.7908683244884014,0.18766399651765822,0.8998752049037388,0.6918846590178354,0.26293798301901133
16,0.9284529876708985,0.7995921687036752,0.17607420403510332,0.8655965532575335,0.4635530639705913,0.3580504792077201
17,0.9313954925537109,0.8108299544453621,0.1691479829326272,0.9107297624860491,0.7383086106606892,0.27899548123989787
18,0.9313395309448242,0.8111887650191784,0.17295985393226146,0.9245919363839286,0.7968585414545877,0.20435956769755909
19,0.9351514434814453,0.8208777531981468,0.15779983591288327,0.9376948765345983,0.8233916597706931,0.1514670329434531
20,0.9369417953491211,0.8269701260328293,0.1545629634335637,0.9169407435825893,0.7493479830878121,0.20947604892509325
21,0.9396657943725586,0.8346756842732429,0.15091617856174708,0.93280029296875,0.8150990575551986,0.17605717714343752
22,0.9407090759277343,0.834057262390852,0.14562990803271533,0.9471517290387835,0.8463218399456569,0.13529606301869665
23,0.9414836502075196,0.8411261899769307,0.14722080271691085,0.921926007952009,0.7708820873073169,0.21817703523806165
24,0.9407894134521484,0.836944630742073,0.14645897854119538,0.9438326154436384,0.8487403861113957,0.1552977864231382
25,0.944902572631836,0.8492268547415733,0.13563591541722417,0.9399203709193639,0.83141835970538,0.16249599499361855
26,0.9452023315429687,0.8503081709146499,0.13355275589972734,0.9430911472865513,0.8278955123254231,0.159164532912629
27,0.9409386444091797,0.8366504304856062,0.15083246272057294,0.9159042358398437,0.7460661771042006,0.24354395685451372
28,0.9479485321044921,0.858566666841507,0.12716916529461741,0.9373389107840402,0.8257767617702484,0.1527298877281802
29,0.9487732315063476,0.8585883310437202,0.12565403673797845,0.9525616237095424,0.8659757205418178,0.12853242930557046
30,0.9469734191894531,0.855433569252491,0.13387519048526883,0.935146985735212,0.8162858128547669,0.18840451261826924
31,0.9478765487670898,0.8535649356618523,0.13233851023018361,0.9372323172433036,0.8191457118306841,0.1941724540931838
32,0.9497540283203125,0.8636934462189675,0.12771241134032607,0.9508721487862724,0.8668984728200095,0.13527851541127478
33,0.9521059417724609,0.8678369896113872,0.1213091803342104,0.9500381469726562,0.8550245319093976,0.16153575128742625
34,0.952572250366211,0.8722071889042854,0.1184100823663175,0.9519677298409598,0.8580580138734408,0.13365339562296868
35,0.9538302612304688,0.8738883143663406,0.11407580967992544,0.9254617963518416,0.7773753327982766,0.21881024645907537
36,0.9494489288330078,0.8610944734513759,0.12663778321817518,0.9454620361328125,0.8443809737052236,0.16105145003114427
37,0.9504855728149414,0.8621817745268345,0.12119752176105976,0.9480868748256138,0.855398895910808,0.1334884496671813
38,0.9498491287231445,0.8594740030169487,0.12457437008619308,0.94000244140625,0.8323241516947746,0.18807654487235206
39,0.9550753784179687,0.8756230975687503,0.11392317708581685,0.9521122523716518,0.8549489802547864,0.12824740069253104
40,0.9578657531738282,0.8804861469566823,0.10443523624911905,0.9491536821637835,0.8553003694329943,0.1378403218196971
41,0.9565312194824219,0.8822803357243538,0.11166208729147911,0.9505337306431362,0.8622171870299749,0.1292936937617404
42,0.9580014419555664,0.8852953028678894,0.10127186363562941,0.9501734052385603,0.8554660098893302,0.13676896105919564
43,0.9539855194091796,0.876639506816864,0.11489965848624706,0.9594754900251116,0.8891331987721579,0.11176252806825297
44,0.9601544570922852,0.8912616318464279,0.09556402226909995,0.9612630571637835,0.8895583850996834,0.1054366905774389
45,0.960795783996582,0.895437134206295,0.09468727078288794,0.9601130894252232,0.8905187240668706,0.11756894971643175
